dataset,model,subset_size,subset,n_questions,mean_hcds,t_statistic,p_value_two_sided,positive,significant_positive
GSM8K n=50,thinking,4,"token_entropy_slope,paraphrase_consistency,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",50,0.1607,0.731,0.4684162900027906,1,0
GSM8K n=50,thinking,5,"latency_per_output_token,token_entropy_mean,token_entropy_slope,paraphrase_consistency,perturbation_delta_accuracy",50,0.683,3.382,0.0014230930168765976,1,1
GSM8K n=50,thinking,5,"latency_per_output_token,token_entropy_mean,token_entropy_slope,paraphrase_consistency,mechanistic_intervention_delta_accuracy",50,0.508,2.788,0.007521401963059837,1,1
GSM8K n=50,thinking,5,"latency_per_output_token,token_entropy_mean,token_entropy_slope,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",50,0.6077,3.106,0.003151492232972064,1,1
GSM8K n=50,thinking,5,"latency_per_output_token,token_entropy_mean,paraphrase_consistency,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",50,0.165,0.903,0.37111933852343126,1,0
GSM8K n=50,thinking,5,"latency_per_output_token,token_entropy_slope,paraphrase_consistency,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",50,0.4214,2.072,0.04358047340848126,1,1
GSM8K n=50,thinking,5,"token_entropy_mean,token_entropy_slope,paraphrase_consistency,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",50,0.232,1.072,0.2891838849105344,1,0
GSM8K n=50,thinking,6,"latency_per_output_token,token_entropy_mean,token_entropy_slope,paraphrase_consistency,perturbation_delta_accuracy,mechanistic_intervention_delta_accuracy",50,0.481,2.393,0.020585754623441366,1,1
StrategyQA n=50,instruct,1,latency_per_output_token,50,1.7133,16.67,0.0,1,1
StrategyQA n=50,instruct,1,token_entropy_mean,50,1.6596,20.788,0.0,1,1
StrategyQA n=50,instruct,1,token_entropy_slope,50,0.4325,1.818,0.07522665933658779,1,0
StrategyQA n=50,instruct,2,"latency_per_output_token,token_entropy_mean",50,2.3812,24.072,0.0,1,1
StrategyQA n=50,instruct,2,"latency_per_output_token,token_entropy_slope",50,1.8752,8.244,8.108580473731308e-11,1,1
StrategyQA n=50,instruct,2,"latency_per_output_token,mechanistic_intervention_delta_accuracy",50,0.8956,4.314,7.749079988284002e-05,1,1
StrategyQA n=50,instruct,2,"token_entropy_mean,token_entropy_slope",50,1.8857,9.136,3.703259920939672e-12,1,1
StrategyQA n=50,instruct,2,"token_entropy_mean,mechanistic_intervention_delta_accuracy",50,0.9535,5.607,9.387826189755089e-07,1,1
StrategyQA n=50,instruct,2,"token_entropy_slope,mechanistic_intervention_delta_accuracy",50,-0.3651,-1.591,0.11795939088550389,0,0
StrategyQA n=50,instruct,3,"latency_per_output_token,token_entropy_mean,token_entropy_slope",50,2.5737,12.654,0.0,1,1
